复习,Fùxí,복습하다,동사,为了提高汉语水平，我每天晚上都会复习。
预习,Yùxí,예습하다,동사,为了提高汉语水平，我每天晚上都会预习。
作业,Zuòyè,숙제,명사,我觉得作业很重要，对学习汉语很有帮助。
写作,Xiězuò,글쓰기,명사,我觉得写作很重要，对学习汉语很有帮助。
写作的作业,Xiězuò de zuòyè,글쓰기 숙제,명사구,我觉得写作的作业很重要，对学习汉语很有帮助。
班长,Bānzhǎng,반장,명사,我们班的班长很负责，大家有问题都会找他。
告诉,Gàosu,알려주다,동사,请你早点告诉我结果，我好提前准备。
已经,Yǐjīng,이미,부사,我已经准备好了，明天可以直接出发。
推卸责任,Tuīxiè zérèn,책임을 떠넘기다,동사구,遇到问题的时候，我们不能推卸责任，应该马上解决。
想起来,Xiǎngqǐlái,생각이 나다,동사,听到这首歌，我马上想起来大学时候的生活。
继续,Jìxù,계속하다,동사,虽然很累，但是我还是想继续学习汉语。
有时间,Yǒu shíjiān,시간이 있으면,표현,如果你有时间，我们周末一起吃饭吧。
辛苦了,Xīnkǔ le,수고했어요,표현,今天大家都辛苦了，早点回家休息吧。
谢谢,Xièxie,감사합니다,표현,谢谢你的帮助，这次真的帮了我很大的忙。
管理,Guǎnlǐ,관리/관리하다,명사/동사,现在我是组长，负责管理整个小组的工作。
管理风格,Guǎnlǐ fēnggé,관리 스타일,명사,我觉得这位上司的管理风格很严格，但是很有效。
处理方法,Chǔlǐ fāngfǎ,처리 방법,명사,这个问题比较复杂，我们得先讨论一下处理方法。
方式,Fāngshì,방식,명사,每个人学习汉语的方式都不一样，最重要的是坚持。
日报,Rìbào,일일보고,명사,上班以后，我先把昨天的日报整理好再开始工作。
日报告,Rì bàogào,매일 보고하다,동사구,下班以前，我要把今天的工作内容日报告给上司。
报告,Bàogào,보고하다/보고서,동사/명사,开会的时候，我要向上司报告这个项目的进展。
工作进展,Gōngzuò jìnzhǎn,업무 진행 상황,명사,开会的时候，上司先问了我们最近的工作进展。
进展,Jìnzhǎn,진전/진척,명사,这个项目最近进展很顺利，客户也很满意。
进行,Jìnxíng,진행하다,동사,会议已经开始了，我们先进行下一项内容吧。
发展,Fāzhǎn,발전하다,동사,随着经济的发展，人们的生活水平越来越高。
检查,Jiǎnchá,점검하다,동사,遇到这种情况的时候，我一般会先检查。
确认,Quèrèn,확인하다,동사,你先帮我确认一下时间，然后我再订票。
